Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v2/pet,22,0,600.0,627.4442669545451,591.8217499999994,940.4689579999999,75.0,0.37830308548565555,0.0,600,610,620,630,640,690,940,940,940,940,940
,Aggregated,22,0,600.0,627.4442669545451,591.8217499999994,940.4689579999999,75.0,0.37830308548565555,0.0,600,610,620,630,640,690,940,940,940,940,940
